Date,Close,대비,등락률,Open,High,Low,Volume,거래대금,시가총액,상장주식수,RSI,RSI_9,OBV,MA5,MA20,MA60,OBV_20
2024-10-21,1753,47,2.75,1705,1761,1687,116960,236948384,20279580495,9868409,46.72245467224547,74.08376963350786,32161767,1695.6,1731.6,1948.1166666666666,31578263.95
2024-10-22,1621,-132,-7.49,1791,1876,1568,1075599,2151217079,18759845509,9868409,48.480463096960925,54.34782608695652,31086168,1687.4,1708.15,1931.5666666666666,31390896.9
2024-10-23,1714,93,5.73,1663,1748,1626,290693,577767927,19835502090,9868409,56.99067909454062,57.536764705882355,31376861,1694.8,1690.0,1916.2166666666667,31242871.15
2024-10-24,1706,-8,-0.5,1714,1731,1655,130533,257380230,19736818000,9868409,64.16791604197901,52.00803212851405,31246328,1700.0,1677.85,1899.8,31109398.55
2024-10-25,1698,-8,-0.45,1706,1706,1646,119470,234534843,19648002319,9868409,60.97946287519747,63.63636363636363,31126858,1698.4,1665.5,1882.9,30991092.7
2024-10-28,1703,5,0.3,1684,1723,1670,110944,220589992,19707212773,9868409,60.6687898089172,56.083086053412465,31237802,1688.4,1654.9,1867.15,30895967.35
2024-10-29,1703,0,0.0,1703,1787,1702,166163,338139379,19707212773,9868409,60.16129032258065,54.03726708074534,31237802,1704.8,1650.05,1854.7333333333333,30951794.35
2024-10-30,1650,-53,-3.1,1710,1719,1603,129483,253677782,19095371415,9868409,51.456310679611654,45.96774193548387,31108319,1692.0,1650.45,1843.7833333333333,31035224.0
2024-10-31,1686,36,2.17,1650,1686,1623,111233,215498203,19509844593,9868409,50.0,47.382198952879584,31219552,1688.0,1654.3,1829.45,31138742.7
2024-11-01,1671,-15,-0.91,1686,1697,1632,88892,173892788,19332213231,9868409,58.13953488372093,38.28571428571428,31130660,1682.6,1662.0,1814.7333333333333,31253842.7
2024-11-04,1705,34,2.04,1662,1719,1638,155512,306898050,19726949591,9868409,54.526315789473685,66.66666666666666,31286172,1683.0,1669.3,1800.9333333333334,31327355.85
2024-11-05,1706,1,0.05,1705,1740,1678,179963,359947377,19736818000,9868409,53.14533622559654,47.5,31466135,1683.6,1676.15,1788.85,31401546.15
2024-11-06,1677,-29,-1.7,1740,1740,1646,125346,248041262,19401292094,9868409,49.69199178644764,41.988950276243095,31340789,1689.0,1681.15,1786.95,31416781.8
2024-11-07,1703,26,1.58,1677,1719,1628,204775,404074550,19707212773,9868409,49.69199178644764,51.256281407035175,31545564,1692.4,1684.7,1783.7833333333333,31430637.55
2024-11-08,1629,-74,-4.36,1808,1855,1585,2276483,4601832535,18848661190,9868409,37.937743190661486,36.194029850746276,29269081,1684.0,1681.85,1780.8,31312377.05
2024-11-11,1455,-174,-10.68,1467,1638,1429,707845,1252591483,16835505754,9868409,35.07194244604317,21.945701357466064,28561236,1634.0,1675.25,1776.2666666666667,31177721.9
2024-11-12,1891,436,29.97,1537,1891,1537,4856347,8931620587,18661161419,9868409,59.84427141268076,64.60606060606061,33417583,1671.0,1686.7,1778.5666666666666,31269114.1
2024-11-13,1590,-301,-15.92,1882,1882,1523,1357508,2321931005,15690770310,9868409,45.13422818791946,45.59633027522936,32060075,1653.6,1682.35,1775.2166666666667,31286852.75
2024-11-14,1570,-20,-1.26,1620,1637,1521,321409,503409472,15493402130,9868409,44.6843853820598,45.38812785388128,31738666,1627.0,1676.85,1772.9666666666667,31283111.25
2024-11-15,1614,44,2.8,1601,1636,1510,250038,392987803,15927612126,9868409,46.41995172968624,45.88235294117648,31988704,1624.0,1672.25,1771.0166666666667,31280306.1
2024-11-18,1638,24,1.49,1612,1638,1567,165163,266931170,16164453942,9868409,47.43488555643252,46.98581560283688,32153867,1660.6,1666.5,1769.4666666666667,31279911.1
2024-11-19,1520,-118,-7.2,1638,1660,1511,169820,267537022,14999981680,9868409,45.12012012012012,43.549712407559575,31984047,1586.4,1661.45,1767.75,31324805.05
